,angularity,filename,empresa,gravel_size,image
0,2368.9,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_000.tif,britacet 3,19.0 (0.75),Image_000.tif
1,3179.95,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_001.tif,britacet 3,19.0 (0.75),Image_001.tif
2,2100.26,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_002.tif,britacet 3,19.0 (0.75),Image_002.tif
3,3790.33,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_003.tif,britacet 3,19.0 (0.75),Image_003.tif
4,2608.05,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_004.tif,britacet 3,19.0 (0.75),Image_004.tif
5,3246.75,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_005.tif,britacet 3,19.0 (0.75),Image_005.tif
6,3793.49,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_006.tif,britacet 3,19.0 (0.75),Image_006.tif
7,3453.56,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_007.tif,britacet 3,19.0 (0.75),Image_007.tif
8,2516.47,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_008.tif,britacet 3,19.0 (0.75),Image_008.tif
9,3250.51,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_009.tif,britacet 3,19.0 (0.75),Image_009.tif
10,1320.73,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_010.tif,britacet 3,19.0 (0.75),Image_010.tif
11,3256.09,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_011.tif,britacet 3,19.0 (0.75),Image_011.tif
12,3777.63,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_012.tif,britacet 3,19.0 (0.75),Image_012.tif
