,texture,filename,empresa,gravel_size,image
0,673.0,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_000.tif,britacet 3,19.0 (0.75),Image_000.tif
1,596.9,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_001.tif,britacet 3,19.0 (0.75),Image_001.tif
2,275.1,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_002.tif,britacet 3,19.0 (0.75),Image_002.tif
3,722.2,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_003.tif,britacet 3,19.0 (0.75),Image_003.tif
4,923.6,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_004.tif,britacet 3,19.0 (0.75),Image_004.tif
5,793.4,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_005.tif,britacet 3,19.0 (0.75),Image_005.tif
6,790.9,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_006.tif,britacet 3,19.0 (0.75),Image_006.tif
7,273.9,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_007.tif,britacet 3,19.0 (0.75),Image_007.tif
8,156.0,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_008.tif,britacet 3,19.0 (0.75),Image_008.tif
9,876.9,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_009.tif,britacet 3,19.0 (0.75),Image_009.tif
10,697.6,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Texture\Image_010.tif,britacet 3,19.0 (0.75),Image_010.tif
