,texture,category
0,313.2,2
1,835.1,4
2,600.6,4
3,228.4,1
4,142.5,0
5,619.0,4
6,297.2,2
7,639.9,4
8,235.8,1
9,900.2,4
10,223.5,1
11,184.2,1
12,399.1,3
13,114.2,0
14,786.0,4
15,255.5,1
16,350.0,2
17,352.5,3
18,329.1,2
19,1284.6,4
20,255.5,1
21,961.6,4
22,265.3,1
23,393.0,3
24,1074.6,4
25,336.5,2
26,512.1,4
27,331.6,2
28,456.9,3
29,358.6,3
30,310.7,2
31,275.1,2
32,967.8,4
33,783.6,4
34,276.3,2
35,442.1,3
36,234.6,1
37,383.2,3
38,443.4,3
39,320.5,2
40,304.6,2
41,298.4,2
42,162.1,0
43,1235.5,4
44,512.1,4
45,1086.9,4
46,875.7,4
47,316.9,2
48,418.8,3
49,865.8,4
50,163.3,0
51,174.4,1
52,384.4,3
53,337.7,2
54,429.9,3
55,315.6,2
56,517.1,4
57,424.9,3
58,113.0,0
59,278.8,2
60,806.9,4
61,304.6,2
62,354.9,3
63,350.0,2
64,374.6,3
65,178.1,1
66,476.5,4
67,275.1,2
68,826.5,4
69,1093.1,4
70,358.6,3
71,1008.3,4
72,402.8,3
73,1046.4,4
74,1342.4,4
75,229.7,1
76,888.0,4
77,343.9,2
78,856.0,4
79,219.8,1
80,638.6,4
81,72.5,0
82,305.8,2
83,278.8,2
84,400.4,3
85,146.1,0
86,573.5,4
87,183.0,1
88,498.6,4
89,154.7,0
90,304.6,2
91,359.8,3
92,426.2,3
93,385.6,3
94,329.1,2
95,261.6,1
96,831.5,4
97,680.4,4
98,739.3,4
99,320.5,2
100,259.1,1
101,876.9,4
102,282.5,2
103,1080.8,4
104,243.2,1
105,316.9,2
106,1083.2,4
107,510.9,4
108,503.5,4
109,697.6,4
110,552.7,4
111,181.8,1
112,962.9,4
113,1283.4,4
114,930.9,4
115,309.5,2
116,383.2,3
117,163.3,0
118,1020.6,4
119,433.5,3
120,956.7,4
121,211.2,1
122,612.8,4
123,1434.5,4
124,357.4,3
125,373.4,3
126,1056.2,4
127,388.1,3
128,305.8,2
129,323.0,2
130,1063.6,4
131,610.4,4
132,472.8,4
133,228.4,1
134,800.8,4
135,283.7,2
136,547.8,4
137,384.4,3
138,438.4,3
139,477.8,4
140,944.4,4
141,697.6,4
142,244.4,1
143,326.7,2
144,343.9,2
146,1112.7,4
147,337.7,2
148,305.8,2
149,388.1,3
150,1278.5,4
151,432.3,3
152,72.5,0
153,269.0,1
154,493.7,4
155,323.0,2
156,281.2,2
157,644.8,4
158,179.3,1
159,382.0,3
160,633.7,4
161,367.2,3
162,700.0,4
163,736.9,4
164,278.8,2
165,152.3,0
166,170.7,1
167,600.6,4
168,417.6,3
169,545.3,4
170,436.0,3
171,1039.0,4
172,1174.1,4
173,440.9,3
174,416.3,3
175,664.4,4
176,396.7,3
177,681.6,4
178,284.9,2
179,296.0,2
180,1030.4,4
181,1041.5,4
182,646.0,4
183,840.1,4
184,226.0,1
185,1042.7,4
186,1314.1,4
187,1190.1,4
188,329.1,2
189,379.5,3
190,1214.6,4
